username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Hookem.com,15165715,"Austin, Tx",2023-01-19 12:00:02,Texas Tech holds off No. 25 Texas in closing minutes for Big 12 women's basketball win https://t.co/toKyeHLFCI,0,SocialNewsDesk,
NIT Stu,955621214118207489,"Austin, TX",2023-01-19 05:59:25,What Virginia Tech needs to do is hide from the committees that Hunter Cattoor missed those games. They’ve got the… https://t.co/VyWnY1VbGc,1,Twitter for iPhone,
Paul Fieler,346205298,"Cedar Park, TX",2023-01-19 00:46:11,"@mattmezz @KevinKe72480208 @RitchieTorres Do you know that the 2020 election was fraught with massive fraud, includ… https://t.co/9rC1quLhpH",0,Twitter for iPhone,
Action Point Analytics,3182258893,"Austin, TX",2023-01-19 00:38:50,"""Big tech companies are retrenching, cutting expenses faster than they have in decades in an effort to navigate wha… https://t.co/aLKBv0F7Z1",0,Twitter Web App,
Johnny B,1578782425349558272,Communist City of Austin Texas,2023-01-18 22:33:32,@elonmusk No...nor should Big Tech.,0,Twitter for Android,
Paul Azunre,1210991649863561216,"Austin, TX",2023-01-18 20:01:33,"Here we go again 🤦🏽‍♂️ Big Tech treating Africa as an exploitation and extraction zone, while deliberately dragging… https://t.co/2o7QC4ka8V",0,Twitter for iPhone,
taylor desseyn,149212459,free resources👉🏻👉🏻,2023-01-18 20:01:29,hiring is still happening in tech. trust me. big tech just steals the headlines which i get https://t.co/qTBsUN0mRQ,2,Twitter for iPhone,
John Davis,121291508,"Austin, TX",2023-01-18 17:18:32,@mcspacface @DeItaone That's still a tiny amount out of the 214 million working agepeople in the US. It's just not… https://t.co/xKCbTzsLQS,0,Twitter Web App,
Alan Rabinovich,2854946950,"Austin, TX",2023-01-18 16:35:41,Microsoft launched a Neurodiversity Career Connector (NDCC) in collaboration with the nonprofit Disability:IN. Othe… https://t.co/pZc4dGmVCv,0,Powered by Sprinklr,
Ethan,1310893824,"Austin, TX",2023-01-18 16:17:53,@IGN Happening at every big tech company unfortunately sucks man,0,Twitter for iPhone,
Ethan,1310893824,"Austin, TX",2023-01-18 16:17:16,@charlieINTEL Happening at every big tech company sucks man,0,Twitter for iPhone,
